Knot;Braid length;HOMFLY homology;Elapsed time;Bigint
3_1;3;t^3a^{-4} + t^2q^{-2}a^{-2} + q^2a^{-2};0:00.01;False
4_1;4;t^2a^{-2} + tq^{-2} + 1 + t^{-1}q^2 + t^{-2}a^2;0:00.01;False
5_1;5;t^5q^{-2}a^{-6} + t^4q^{-4}a^{-4} + t^3q^2a^{-6} + t^2a^{-4} + q^4a^{-4};0:00.01;False
5_2;6;q^{-2}a^2 + t^{-1}a^2 + t^{-2}q^2a^2 + t^{-2}q^{-2}a^4 + t^{-3}a^4 + t^{-4}q^2a^4 + t^{-5}a^6;0:00.02;False
6_1;7;t^2a^{-2} + tq^{-2} + 2 + t^{-1}q^2 + t^{-1}q^{-2}a^2 + t^{-2}a^2 + t^{-3}q^2a^2 + t^{-4}a^4;0:00.04;False
6_2;6;t^4q^{-2}a^{-4} + t^3a^{-4} + t^3q^{-4}a^{-2} + t^2q^2a^{-4} + t^2q^{-2}a^{-2} + 2ta^{-2} + q^2a^{-2} + q^{-2} + t^{-1}q^4a^{-2} + t^{-2}q^2;0:00.03;False
6_3;6;t^3q^{-2}a^{-2} + t^2a^{-2} + t^2q^{-4} + tq^2a^{-2} + tq^{-2} + 3 + t^{-1}q^2 + t^{-1}q^{-2}a^2 + t^{-2}q^4 + t^{-2}a^2 + t^{-3}q^2a^2;0:00.03;False
7_1;7;t^7q^{-4}a^{-8} + t^6q^{-6}a^{-6} + t^5a^{-8} + t^4q^{-2}a^{-6} + t^3q^4a^{-8} + t^2q^2a^{-6} + q^6a^{-6};0:00.04;False
7_2;9;q^{-2}a^2 + t^{-1}a^2 + t^{-2}q^2a^2 + t^{-2}q^{-2}a^4 + 2t^{-3}a^4 + t^{-4}q^2a^4 + t^{-4}q^{-2}a^6 + t^{-5}a^6 + t^{-6}q^2a^6 + t^{-7}a^8;0:00.19;False
7_3;8;q^{-4}a^4 + t^{-1}q^{-2}a^4 + t^{-2}a^4 + t^{-2}q^{-4}a^6 + t^{-3}q^2a^4 + t^{-3}q^{-2}a^6 + t^{-4}q^4a^4 + 2t^{-4}a^6 + t^{-5}q^2a^6 + t^{-5}q^{-2}a^8 + t^{-6}q^4a^6 + t^{-7}q^2a^8;0:00.12;False
7_4;9;t^7a^{-8} + t^6q^{-2}a^{-6} + 2t^5a^{-6} + t^4q^2a^{-6} + 2t^4q^{-2}a^{-4} + 2t^3a^{-4} + 2t^2q^2a^{-4} + t^2q^{-2}a^{-2} + 2ta^{-2} + q^2a^{-2};0:00.23;False
7_5;8;t^7q^{-2}a^{-8} + t^6a^{-8} + t^6q^{-4}a^{-6} + t^5q^2a^{-8} + 2t^5q^{-2}a^{-6} + 2t^4a^{-6} + t^4q^{-4}a^{-4} + 2t^3q^2a^{-6} + t^3q^{-2}a^{-4} + t^2q^4a^{-6} + 2t^2a^{-4} + tq^2a^{-4} + q^4a^{-4};0:00.10;False
7_6;7;t^5a^{-6} + 2t^4q^{-2}a^{-4} + 2t^3a^{-4} + t^3q^{-4}a^{-2} + 2t^2q^2a^{-4} + 2t^2q^{-2}a^{-2} + 3ta^{-2} + 2q^2a^{-2} + q^{-2} + t^{-1}q^4a^{-2} + t^{-1} + t^{-2}q^2;0:00.04;False
7_7;7;t^4a^{-4} + 2t^3q^{-2}a^{-2} + 2t^2a^{-2} + t^2q^{-4} + 2tq^2a^{-2} + 2tq^{-2} + 4 + 2t^{-1}q^2 + t^{-1}q^{-2}a^2 + t^{-2}q^4 + 2t^{-2}a^2 + t^{-3}q^2a^2;0:00.04;False
8_1;10;t^2a^{-2} + tq^{-2} + 2 + t^{-1}q^2 + t^{-1}q^{-2}a^2 + 2t^{-2}a^2 + t^{-3}q^2a^2 + t^{-3}q^{-2}a^4 + t^{-4}a^4 + t^{-5}q^2a^4 + t^{-6}a^6;0:00.67;False
8_2;8;t^6q^{-4}a^{-6} + t^5q^{-2}a^{-6} + t^5q^{-6}a^{-4} + t^4a^{-6} + t^4q^{-4}a^{-4} + t^3q^2a^{-6} + 2t^3q^{-2}a^{-4} + t^2q^4a^{-6} + t^2a^{-4} + t^2q^{-4}a^{-2} + 2tq^2a^{-4} + q^4a^{-4} + a^{-2} + t^{-1}q^6a^{-4} + t^{-2}q^4a^{-2};0:00.14;False
8_3;10;t^4a^{-4} + t^3q^{-2}a^{-2} + 2t^2a^{-2} + tq^2a^{-2} + 2tq^{-2} + 3 + 2t^{-1}q^2 + t^{-1}q^{-2}a^2 + 2t^{-2}a^2 + t^{-3}q^2a^2 + t^{-4}a^4;0:00.90;False
8_4;9;t^4q^{-2}a^{-4} + t^3a^{-4} + t^3q^{-4}a^{-2} + t^2q^2a^{-4} + 2t^2q^{-2}a^{-2} + 2ta^{-2} + tq^{-4} + 2q^2a^{-2} + q^{-2} + t^{-1}q^4a^{-2} + 2t^{-1} + t^{-2}q^2 + t^{-2}q^{-2}a^2 + t^{-3}q^4 + t^{-4}q^2a^2;0:00.32;False
8_5;8;t^6q^{-4}a^{-6} + t^5q^{-2}a^{-6} + t^5q^{-6}a^{-4} + 2t^4a^{-6} + t^4q^{-4}a^{-4} + t^3q^2a^{-6} + 3t^3q^{-2}a^{-4} + t^2q^4a^{-6} + t^2a^{-4} + t^2q^{-4}a^{-2} + 3tq^2a^{-4} + q^4a^{-4} + 2a^{-2} + t^{-1}q^6a^{-4} + t^{-2}q^4a^{-2};0:00.13;False
8_6;9;t^2q^{-2} + tq^{-4}a^2 + q^2 + 2q^{-2}a^2 + 3t^{-1}a^2 + t^{-1}q^{-4}a^4 + 2t^{-2}q^2a^2 + 2t^{-2}q^{-2}a^4 + t^{-3}q^4a^2 + 3t^{-3}a^4 + 2t^{-4}q^2a^4 + t^{-4}q^{-2}a^6 + t^{-5}q^4a^4 + t^{-5}a^6 + t^{-6}q^2a^6;0:00.29;False
8_7;8;t^3q^{-4} + t^2q^{-2} + t^2q^{-6}a^2 + t + tq^{-4}a^2 + q^2 + 3q^{-2}a^2 + t^{-1}q^4 + 2t^{-1}a^2 + t^{-1}q^{-4}a^4 + 3t^{-2}q^2a^2 + t^{-2}q^{-2}a^4 + t^{-3}q^4a^2 + 2t^{-3}a^4 + t^{-4}q^6a^2 + t^{-4}q^2a^4 + t^{-5}q^4a^4;0:00.15;False
8_8;9;t^3q^{-2}a^{-2} + t^2a^{-2} + t^2q^{-4} + tq^2a^{-2} + 2tq^{-2} + 4 + q^{-4}a^2 + 2t^{-1}q^2 + 2t^{-1}q^{-2}a^2 + t^{-2}q^4 + 3t^{-2}a^2 + 2t^{-3}q^2a^2 + t^{-3}q^{-2}a^4 + t^{-4}q^4a^2 + t^{-4}a^4 + t^{-5}q^2a^4;0:00.34;False
8_9;8;t^4q^{-4}a^{-2} + t^3q^{-2}a^{-2} + t^3q^{-6} + 2t^2a^{-2} + t^2q^{-4} + tq^2a^{-2} + 3tq^{-2} + q^4a^{-2} + 3 + q^{-4}a^2 + 3t^{-1}q^2 + t^{-1}q^{-2}a^2 + t^{-2}q^4 + 2t^{-2}a^2 + t^{-3}q^6 + t^{-3}q^2a^2 + t^{-4}q^4a^2;0:00.22;False
8_10;8;t^3q^{-4} + t^2q^{-2} + t^2q^{-6}a^2 + 2t + tq^{-4}a^2 + q^2 + 4q^{-2}a^2 + t^{-1}q^4 + 2t^{-1}a^2 + t^{-1}q^{-4}a^4 + 4t^{-2}q^2a^2 + t^{-2}q^{-2}a^4 + t^{-3}q^4a^2 + 3t^{-3}a^4 + t^{-4}q^6a^2 + t^{-4}q^2a^4 + t^{-5}q^4a^4;0:00.16;False
8_11;9;t^2q^{-2} + t + tq^{-4}a^2 + q^2 + 3q^{-2}a^2 + 3t^{-1}a^2 + t^{-1}q^{-4}a^4 + 3t^{-2}q^2a^2 + 2t^{-2}q^{-2}a^4 + t^{-3}q^4a^2 + 4t^{-3}a^4 + 2t^{-4}q^2a^4 + t^{-4}q^{-2}a^6 + t^{-5}q^4a^4 + t^{-5}a^6 + t^{-6}q^2a^6;0:00.30;False
8_12;8;t^4a^{-4} + 2t^3q^{-2}a^{-2} + 3t^2a^{-2} + t^2q^{-4} + 2tq^2a^{-2} + 3tq^{-2} + 5 + 3t^{-1}q^2 + 2t^{-1}q^{-2}a^2 + t^{-2}q^4 + 3t^{-2}a^2 + 2t^{-3}q^2a^2 + t^{-4}a^4;0:00.10;False
8_13;9;t^3q^{-2}a^{-2} + 2t^2a^{-2} + t^2q^{-4} + tq^2a^{-2} + 3tq^{-2} + 4 + q^{-4}a^2 + 3t^{-1}q^2 + 2t^{-1}q^{-2}a^2 + t^{-2}q^4 + 4t^{-2}a^2 + 2t^{-3}q^2a^2 + t^{-3}q^{-2}a^4 + t^{-4}q^4a^2 + t^{-4}a^4 + t^{-5}q^2a^4;0:00.34;False
8_14;9;t^2q^{-2} + t + tq^{-4}a^2 + q^2 + 3q^{-2}a^2 + 4t^{-1}a^2 + t^{-1}q^{-4}a^4 + 3t^{-2}q^2a^2 + 3t^{-2}q^{-2}a^4 + t^{-3}q^4a^2 + 4t^{-3}a^4 + 3t^{-4}q^2a^4 + t^{-4}q^{-2}a^6 + t^{-5}q^4a^4 + 2t^{-5}a^6 + t^{-6}q^2a^6;0:00.28;False
8_15;9;t^8a^{-10} + 3t^7q^{-2}a^{-8} + 2t^6a^{-8} + 2t^6q^{-4}a^{-6} + 3t^5q^2a^{-8} + 3t^5q^{-2}a^{-6} + 5t^4a^{-6} + t^4q^{-4}a^{-4} + 3t^3q^2a^{-6} + 2t^3q^{-2}a^{-4} + 2t^2q^4a^{-6} + 3t^2a^{-4} + 2tq^2a^{-4} + q^4a^{-4};0:00.18;False
8_16;8;t^3q^{-4} + 2t^2q^{-2} + t^2q^{-6}a^2 + 2t + 2tq^{-4}a^2 + 2q^2 + 4q^{-2}a^2 + t^{-1}q^4 + 4t^{-1}a^2 + t^{-1}q^{-4}a^4 + 4t^{-2}q^2a^2 + 2t^{-2}q^{-2}a^4 + 2t^{-3}q^4a^2 + 3t^{-3}a^4 + t^{-4}q^6a^2 + 2t^{-4}q^2a^4 + t^{-5}q^4a^4;0:00.17;False
8_17;8;t^4q^{-4}a^{-2} + 2t^3q^{-2}a^{-2} + t^3q^{-6} + 3t^2a^{-2} + 2t^2q^{-4} + 2tq^2a^{-2} + 4tq^{-2} + q^4a^{-2} + 5 + q^{-4}a^2 + 4t^{-1}q^2 + 2t^{-1}q^{-2}a^2 + 2t^{-2}q^4 + 3t^{-2}a^2 + t^{-3}q^6 + 2t^{-3}q^2a^2 + t^{-4}q^4a^2;0:00.23;False
8_18;8;t^4q^{-4}a^{-2} + 3t^3q^{-2}a^{-2} + t^3q^{-6} + 3t^2a^{-2} + 3t^2q^{-4} + 3tq^2a^{-2} + 4tq^{-2} + q^4a^{-2} + 7 + q^{-4}a^2 + 4t^{-1}q^2 + 3t^{-1}q^{-2}a^2 + 3t^{-2}q^4 + 3t^{-2}a^2 + t^{-3}q^6 + 3t^{-3}q^2a^2 + t^{-4}q^4a^2;0:00.21;False
8_19;8;t^8a^{-10} + t^7q^{-2}a^{-8} + t^7q^{-4}a^{-8} + t^6q^{-6}a^{-6} + t^5q^2a^{-8} + t^5a^{-8} + t^4a^{-6} + t^4q^{-2}a^{-6} + t^3q^4a^{-8} + t^2q^2a^{-6} + q^6a^{-6};0:00.09;False
8_20;8;tq^{-2} + 1 + q^{-4}a^2 + t^{-1}q^2 + 2t^{-2}a^2 + t^{-3}q^{-2}a^4 + t^{-4}q^4a^2 + t^{-5}q^2a^4;0:00.15;False
8_21;8;t^6q^{-2}a^{-6} + t^5a^{-6} + t^5q^{-4}a^{-4} + t^4q^2a^{-6} + t^4q^{-2}a^{-4} + 3t^3a^{-4} + t^2q^2a^{-4} + 2t^2q^{-2}a^{-2} + tq^4a^{-4} + ta^{-2} + 2q^2a^{-2};0:00.13;False
9_1;9;t^9q^{-6}a^{-10} + t^8q^{-8}a^{-8} + t^7q^{-2}a^{-10} + t^6q^{-4}a^{-8} + t^5q^2a^{-10} + t^4a^{-8} + t^3q^6a^{-10} + t^2q^4a^{-8} + q^8a^{-8};0:00.32;False
9_2;12;t^9a^{-10} + t^8q^{-2}a^{-8} + t^7a^{-8} + t^6q^2a^{-8} + t^6q^{-2}a^{-6} + 2t^5a^{-6} + t^4q^2a^{-6} + t^4q^{-2}a^{-4} + 2t^3a^{-4} + t^2q^2a^{-4} + t^2q^{-2}a^{-2} + ta^{-2} + q^2a^{-2};0:05.42;False
9_3;10;q^{-6}a^6 + t^{-1}q^{-4}a^6 + t^{-2}q^{-2}a^6 + t^{-2}q^{-6}a^8 + t^{-3}a^6 + t^{-3}q^{-4}a^8 + t^{-4}q^2a^6 + 2t^{-4}q^{-2}a^8 + t^{-5}q^4a^6 + t^{-5}a^8 + t^{-5}q^{-4}a^{10} + t^{-6}q^6a^6 + 2t^{-6}q^2a^8 + t^{-7}q^4a^8 + t^{-7}a^{10} + t^{-8}q^6a^8 + t^{-9}q^4a^{10};0:00.85;False
9_4;11;t^9q^{-2}a^{-10} + t^8q^{-4}a^{-8} + t^7q^2a^{-10} + t^7q^{-2}a^{-8} + 2t^6a^{-8} + t^6q^{-4}a^{-6} + t^5q^2a^{-8} + 2t^5q^{-2}a^{-6} + t^4q^4a^{-8} + 2t^4a^{-6} + t^4q^{-4}a^{-4} + 2t^3q^2a^{-6} + t^3q^{-2}a^{-4} + t^2q^4a^{-6} + t^2a^{-4} + tq^2a^{-4} + q^4a^{-4};0:01.81;False
9_5;12;q^{-2}a^2 + 2t^{-1}a^2 + t^{-2}q^2a^2 + 2t^{-2}q^{-2}a^4 + 3t^{-3}a^4 + 2t^{-4}q^2a^4 + 2t^{-4}q^{-2}a^6 + 3t^{-5}a^6 + 2t^{-6}q^2a^6 + t^{-6}q^{-2}a^8 + 2t^{-7}a^8 + t^{-8}q^2a^8 + t^{-9}a^{10};0:05.04;False
9_6;10;t^9q^{-4}a^{-10} + t^8q^{-2}a^{-10} + t^8q^{-6}a^{-8} + t^7a^{-10} + 2t^7q^{-4}a^{-8} + t^6q^2a^{-10} + 2t^6q^{-2}a^{-8} + t^6q^{-6}a^{-6} + t^5q^4a^{-10} + 3t^5a^{-8} + t^5q^{-4}a^{-6} + 2t^4q^2a^{-8} + 2t^4q^{-2}a^{-6} + 2t^3q^4a^{-8} + t^3a^{-6} + t^2q^6a^{-8} + 2t^2q^2a^{-6} + tq^4a^{-6} + q^6a^{-6};0:00.69;False
9_7;11;t^9q^{-2}a^{-10} + t^8a^{-10} + t^8q^{-4}a^{-8} + t^7q^2a^{-10} + 2t^7q^{-2}a^{-8} + 3t^6a^{-8} + t^6q^{-4}a^{-6} + 2t^5q^2a^{-8} + 3t^5q^{-2}a^{-6} + t^4q^4a^{-8} + 3t^4a^{-6} + t^4q^{-4}a^{-4} + 3t^3q^2a^{-6} + t^3q^{-2}a^{-4} + t^2q^4a^{-6} + 2t^2a^{-4} + tq^2a^{-4} + q^4a^{-4};0:01.73;False
9_8;10;t^5a^{-6} + 2t^4q^{-2}a^{-4} + 2t^3a^{-4} + t^3q^{-4}a^{-2} + 2t^2q^2a^{-4} + 3t^2q^{-2}a^{-2} + 4ta^{-2} + tq^{-4} + 3q^2a^{-2} + 2q^{-2} + t^{-1}q^4a^{-2} + 3t^{-1} + 2t^{-2}q^2 + t^{-2}q^{-2}a^2 + t^{-3}q^4 + t^{-3}a^2 + t^{-4}q^2a^2;0:00.75;False
